ts,liquid_rate_in_hr,ice_rate_in_hr,snow_rate_in_hr,horizontal_mf_salt,road_liq_depth_in,road_ice_depth_in,road_unbndice_depth_in,road_cmpsnw_in,road_snow_depth_in,prct_ice,speed_mph,profile_speed,ref_speed,imputed,rel_speed
2017-12-24 07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0242354298903635,0.9446047316791693,69.32,0.0,1.0242354298903635
2017-12-24 08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098095787651473,0.9161136757068669,69.32,0.0,1.0098095787651473
2017-12-24 09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9290464512406232,0.9290464512406232,69.32,1.0,0.9290464512406232
2017-12-24 10,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9593190998268899,0.9228289094056551,69.32,0.0,0.9593190998268899
2017-12-24 11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600403923831506,0.9565276976341605,69.32,0.0,0.9600403923831506
2017-12-24 12,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0170225043277554,0.9397576457010965,69.32,0.0,1.0170225043277554
2017-12-24 13,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943450663589152,0.918429024812464,69.32,0.0,0.943450663589152
2017-12-24 14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766878245816504,0.9275028851702252,69.32,0.0,0.7766878245816504
2017-12-24 15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9922100403923833,0.9078404500865552,69.32,0.0,0.9922100403923833
2017-12-24 16,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.002,0.01,0.0,0.8806982111944606,0.8427005193306405,69.32,0.0,0.8806982111944606
2017-12-24 17,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713214079630699,0.8760025966532026,69.32,0.0,0.8713214079630699
2017-12-24 18,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9539815349105597,0.9194733805083974,69.32,0.0,0.9539815349105597
2017-12-24 19,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9228672517994352,0.9228672517994352,69.32,1.0,0.9228672517994352
2017-12-24 20,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7787074437391807,0.8964584535487594,69.32,0.0,0.7787074437391807
2017-12-24 21,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8742065781881132,0.8716523539594719,69.32,0.0,0.8742065781881132
2017-12-24 22,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588863242931334,0.8777697634160416,69.32,0.0,0.9588863242931334
2017-12-24 23,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.001,0.04,0.0,0.9665320253894981,0.8839899281330327,69.32,0.0,0.9665320253894981
2017-12-25 00,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.9088286208886325,0.8616560877091749,69.32,0.0,0.9088286208886325
2017-12-25 01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222735141373342,0.8762694748990192,69.32,0.0,0.8222735141373342
2017-12-25 02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9376803231390654,0.9376803231390654,69.32,1.0,0.9376803231390654
2017-12-25 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890796306982112,0.890796306982112,69.32,1.0,0.890796306982112
2017-12-25 04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8597807270628968,0.8597807270628968,69.32,1.0,0.8597807270628968
2017-12-25 05,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8944027697634162,0.9881708020773227,69.32,0.0,0.8944027697634162
2017-12-25 06,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.8944027697634162,0.8839636993128049,69.32,0.0,0.8944027697634162
2017-12-25 07,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.9135297511964972,0.9135297511964972,69.32,1.0,0.9135297511964972
2017-12-25 08,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.9696007973561351,0.9696007973561351,69.32,1.0,0.9696007973561351
2017-12-25 09,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.9422711381147959,0.9422711381147959,69.32,1.0,0.9422711381147959
2017-12-25 10,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.9325097943936587,0.9325097943936587,69.32,1.0,0.9325097943936587
2017-12-25 11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9160415464512407,0.9521061742642817,69.32,0.0,0.9160415464512407
2017-12-25 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705712637045587,0.9475940886067834,69.32,0.0,0.9705712637045587
2017-12-25 13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8078476630121177,0.9594329881252468,69.32,0.0,0.8078476630121177
